GCIS_KEY,PERIOD_ID,TARGET_F,MBNCZZ_CUST_INIT_TRAN_COUNT,MBNCZZ_CUR_OTH_DEP_AMT,CINCZZ_EXPLICIT_INCOME,MBNCZZ_CUR_SAL_CREDIT_AMT,MBNCZZ_ABS_SPOT_AMT,CPNCZZ_MFI_TRAN_COUNT,CUNCZZ_AGE_YEARS,CPNCZZ_REL_AGE_IN_MTH,MBNCZZ_DEP_SPOT_BAL_AMT,CFNCZZ_ACC_TO_FUNDS,CPBCZZ_ACCT_CLOSE_IND,MBNHMI_AVG_OTH_DEP_AMT,MBBHMI_EVERYDAY_BANKER_IND,TRNHDL_AVG_DEPOSIT_AMT,MBOHDL_QUALITY_DEP_IND,CONHDL_SECURITY_AMT,CFNHDL_CURRENT_LVR,MBNHIC_AVG_CUST_INIT_TRAN_C,CMNHDL_FULL_FI_AMT,TRNHSL_TOT_WITHDRAWAL_CNT
51204125,201803,1,94,375.24,1889.48,0,916.21,94,31,149,916.21,916.21,0,517.23,1,118.69,0,0,0,125.62,-51.81,3.8
52037951,201806,1,6,1700,0,0,1828.94,6,46,158,1767.84,13267.84,0,333.33,0,702.4,0,0,0,4.92,5,0.31
91452696,201804,0,19,0,1106.68,4628.73,28.39,19,77,257,28.39,28.39,0,0,1,10.48,0,0,0,18.73,-0.06,0.8
95006775,201803,0,64,0,0,1546.77,11232.62,64,24,258,11232.62,11232.62,0,344.71,1,472.54,0,0,0,51.78,1.67,-2
53608028,201803,0,64,9035.3,4639.37,14976.8,1843.02,65,24,92,1843.02,1843.02,0,1388.56,1,1206.9,0,0,0,63.76,8.72,-0.66
54125759,201807,0,264,10411.38,6942.26,29080.9,29371.74,264,25,74,5991.17,39630.17,0,0.09,1,309.8,0,0,0,253.65,-24.87,27.66
55313032,201803,0,125,95.1,7751.44,23338.24,37780.35,125,40,218,273.41,46273.41,0,0,1,240.26,0,0,0,149.34,4.58,3.29
52887683,201803,0,62,37.05,3597.24,10791.72,1.57,62,26,44,0.12,0.12,0,0,1,52.79,0,0,0,59.3,-5.33,-2.14
91975147,201803,1,7,210,1999.74,5367.34,65102.78,7,89,308,65102.78,65102.78,0,0,0,4354.57,0,0,0,4.87,0,0.23
52330310,201806,1,26,2467.75,0,0,1433.27,26,0,146,1433.27,1433.27,0,63.33,0,123.39,1,0,0,8.14,0,0.69
55646913,201803,1,13,0,506.94,4083.43,44.63,13,28,13,44.63,44.63,0,0,0,253.47,1,0,0,23.6,1.75,4.17
92705783,201804,0,35,50,2064.8,6867.37,51.86,35,67,322,50.41,50.41,0,33.33,1,-71.51,0,0,0,56.79,-0.36,-16.29
51998105,201804,1,9,1720,0,0,166.88,9,54,157,0,0,0,1856.67,1,12.33,0,0,0,10.17,50,-0.03
22613916,201807,0,14,5967.94,1099.58,0,42591.64,14,71,449,42591.64,42591.64,0,4.08,0,1977.92,1,0,0,4.32,4.22,1.2
40332853,201804,0,33,0,4137.9,12151.37,144489.65,33,51,416,142896.09,278696.09,0,0,1,-21207.69,0,0,0,32.11,-22.25,0.34
51872409,201805,1,22,2000,0,0,6462.57,22,18,164,6462.57,6462.57,0,491.67,0,500,1,0,0,18.95,-3.58,2.49
51743838,201807,0,6,0,1815.2,6353.2,50812.51,6,77,171,50812.51,50812.51,0,0,1,13.2,0,0,0,7.17,0,-0.49
53419236,201804,1,81,25504.31,0,0,3442.23,81,61,101,3442.23,3442.23,0,32795.91,1,-70.21,0,0,0,82.82,-17.01,-0.89
53737983,201803,0,8,122.92,1159.74,3480.04,63778.3,8,46,85,63778.3,63778.3,0,135.1,1,65.94,0,0,0,11.98,-0.63,-0.29
54423012,201806,0,18,15920,0,0,5097.2,18,54,60,5097.2,5097.2,0,37680.67,1,-1437.07,0,0,0,17.41,-2.25,0.8
77475278,201807,1,8,1800,0,0,385379.2,8,0,61,165483.89,385483.89,0,0,0,-44.75,1,0,0,7.65,0.75,0.03
55234305,201807,0,27,1565.39,6459.56,22578.46,1015512.71,27,42,32,22293.02,1075393.02,0,0,1,23.86,0,0,-0.01,17.7,-30.49,3.14
55433371,201804,1,16,1405.94,0,0,1066.78,16,33,22,1066.78,1066.78,0,158.05,0,620.52,1,0,0,7.22,-1.57,0.43
52885862,201804,1,10,1710,0,0,9389.33,10,17,122,9389.33,9389.33,0,0,0,412,0,0,0,6.52,12.96,-0.14
51818819,201807,0,49,2835.45,96.69,234.76,3461.09,49,54,168,3461.09,3461.09,0,2741.55,1,120.25,0,0,0,52.97,6.32,2.71
92129732,201804,0,28,8947.14,2695.78,9360.2,149048.88,28,73,391,148787.63,151787.63,0,421.35,1,1037.82,0,0,0,32.68,-1.41,-1.91
50752729,201805,1,11,0,2719.01,8765.69,49834.74,11,97,206,49834.74,49834.74,0,544.27,1,292.88,0,0,0,17.3,0,1.2
15237422,201805,0,29,4723.23,0,0,27183.89,29,59,377,27183.89,27183.89,0,5171.62,1,1306.78,0,0,0,28.15,8.04,-6.66
52876875,201805,1,23,1549.65,0,0,43254.52,22,42,124,538.08,47538.08,0,778.87,1,286.57,0,0,0,36.1,41.1,-21.03
51901325,201806,0,27,13596.94,0,0,2390532.67,27,58,110,614244.95,2411244.95,0,21667.94,1,769.21,0,0,0,34.37,0.75,-1.26
12544030,201804,1,8,5219.4,1368.2,4065.71,42633.83,8,79,519,42633.83,42633.83,0,670,0,-540.53,0,0,0,6.73,0,0.46
53783072,201805,1,83,0,0,0,1259.06,83,0,85,1259.06,1259.06,0,0,0,1664.46,1,0,0,72.58,23.25,12.31
54698990,201807,1,71,8562.08,0,0,2.63,72,33,18,2.63,2.63,0,3643.02,1,422.69,0,0,0,79.11,3.5,3.31
25773608,201806,0,26,0,3342.24,10026.74,51272.23,26,56,316,43014.23,218014.23,0,0,1,407.58,0,0,-0.01,21.62,-0.63,0.91
41806787,201803,0,23,800,0,0,3495.32,22,59,269,404.78,5404.78,0,1134.55,1,127.58,0,0,0,27.09,-2.49,-0.26
52901440,201807,0,133,1839.65,5806.91,20143.96,446739.02,133,45,125,2505.34,478205.34,0,1919.37,1,73.82,0,125000,-0.09,134.74,-8.75,-4.6
55408386,201805,1,160,7812.86,12819.84,36144.82,511287.58,160,39,24,14243.07,542343.07,0,232.34,1,265.04,0,0,-0.01,133.4,19.9,1.74
