Cl_Property_ID,CL_Contract_Price,CL_Transfer_Date,Cl_History_From,Cl_Est_Land_Area,Cl_Equiv_Building_Area,Cl_Floor_Area,Cl_Bedrooms,Cl_Bathrooms,Cl_Car_Spaces,Cl_Garages,Cl_Year_Built,Cl_Materials_In_Roof,Cl_Materials_In_External_Walls,Cl_Materials_In_Floor,Cl_Bond_Amount,Cl_Access_Security_Installed,Cl_Air_Conditioned,Cl_Architectural_Style,Cl_Close_To_Public_Transport,Cl_Condition,Cl_Construction_Type,Cl_Dining_Rooms,Cl_Ensuites,Cl_Family_Rooms,Cl_Fireplace,Cl_Floor_Level_Of_Unit,Cl_Frontage,Cl_Lounge_Rooms,Cl_Street_Frontage_Size,Cl_Games_Rooms,Cl_Kitchens,Cl_Meal_Rooms,Cl_Study_Rooms,Cl_Floor_Levels_Inside_Unit,Cl_On_Main_Road,Cl_Renovated,Cl_Scenic_View,Cl_Swimming_Pool,Cl_Toilets,Cl_Heritage_Flag,CL_Property_Type,CL_Unit_No,CL_Unit_No_Derived,CL_Street_No_Start,CL_Street_No_End,CL_Street_Name,CL_Street_Type,CL_Street_Direction,CL_Suburb,CL_Postcode,CL_State,CL_Land_Area
1770457,235000,31/03/2015,31/03/2015,911,?,158,3,2,1,1,1940,Metal,Timber,Timber Floor,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,Y,?,?,?,2,?,House,?,?,10,?,Johnston,Street,?,Casino,2470,NSW,911
45078090,860000,22/03/2015,22/03/2015,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,Unit,1201,?,2,4,Chester,Street,?,Epping,2121,NSW,?
15034515,340000,10/10/2011,10/10/2011,609,?,?,4,2,2,2,?,?,?,?,?,?,?,?,?,?,?,?,1,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,House,?,?,35,?,Disney,Street,?,White Rock,4868,QLD,600
16559216,419900,19/11/2013,19/11/2013,?,?,122,4,2,?,?,?,Tile,Rendered Sheeting,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,Unit,8,?,40,48,Macadie,Way,?,Merrimac,4226,QLD,164
10015532,4800000,17/06/2015,17/06/2015,1272,?,300,4,3,4,2,1930,Tile,Rendered Brick,Parquerty,?,?,Y,?,?,?,?,?,?,?,Y,?,?,?,?,?,?,?,1,?,?,?,?,Y,?,?,House,?,?,9,?,Martin,Street,?,Brighton,3186,VIC,1272
17096852,276500,12/11/2015,12/11/2015,?,?,?,3,1,1,1,?,?,?,?,?,?,Y,?,Y,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,2,?,Unit,3,?,113,?,Howitt,Street,?,Soldiers Hill,3350,VIC,?
15083577,70000,17/08/2011,17/08/2011,302,?,124,?,2,2,?,?,Iron,Brick Veneer,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,Unit,15,?,396,?,Hay,Street,?,Somerville,6430,WA,247
1819293,0,17/12/2016,21/10/2016,646,?,106,3,1,2,2,1990,Concrete Tile,Brick Veneer,Tiled Floor,920,?,Y,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,1,?,House,?,?,61,?,Park,Street,?,Charlestown,2290,NSW,645
15912674,395000,24/09/2019,26/03/2019,580,?,152,4,2,2,2,2012,Concrete Tile,Brick Veneer,?,?,?,Y,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,2,?,House,?,?,3,?,Gerry,Court,?,Marsden,4132,QLD,580
4420451,470000,22/10/2014,12/09/2014,926,?,139,3,1,6,2,1900,Corrugated Galvanised Iron,Chamferboard,Timber Floor,1360,?,Y,?,Y,?,?,1,1,?,?,?,?,1,?,?,?,?,1,?,?,?,?,Y,?,?,House,?,?,19,?,Kendall,Street,?,East Ipswich,4305,QLD,926
6546539,485000,15/02/2018,5/09/2017,400,?,149,4,2,2,2,2009,Concrete Tile,Brick Veneer,Tiled Floor,1720,?,Y,?,?,?,?,?,1,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,2,?,House,?,?,57,?,Gibbs,Street,?,North Lakes,4509,QLD,400
13288966,400000,16/03/2014,16/03/2014,300,?,?,4,2,2,2,?,?,?,?,?,?,Y,?,?,?,?,?,1,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,1,?,House,?,?,11,?,Harbour,Way,?,St Leonards,3223,VIC,300
12411097,595000,18/07/2012,18/07/2012,510,?,185,4,2,2,2,2000,Tile,Brick,Timber Floor,?,Y,Y,?,?,?,?,1,?,1,?,?,?,1,?,?,1,?,1,?,?,?,?,Y,?,?,House,?,?,17,?,Portsea,Gardens,?,Jandakot,6164,WA,510
5178040,234000,4/08/2015,13/04/2015,1016,?,?,2,1,1,1,?,?,?,Tiled Floor,1080,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,Unit,4,?,34,?,Old Bar,Road,?,Old Bar,2430,NSW,1012
2651171,307142,24/10/2011,24/10/2011,650,?,123,4,1,?,?,1940,Metal,Clad,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,House,?,?,68,?,Beresford,Road,?,Greystanes,2145,NSW,645
11234638,1000000,28/02/2015,28/02/2015,698,?,138,3,1,1,1,?,?,?,Timber Floor,?,?,Y,?,?,?,?,1,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,House,?,?,2,?,Rose,Street,?,Highett,3190,VIC,704
10678640,312500,29/07/2012,29/07/2012,350,?,130,3,1,2,2,2010,Cement Tile,Brick Veneer,?,1213,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,House,?,?,27,?,Waterbury,Street,?,Cranbourne,3977,VIC,350
1425083,551000,16/08/2016,16/08/2016,2899,?,?,2,1,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,Unit,25,?,28,?,Gladstone,Street,?,Bexley,2207,NSW,?
6777508,550000,30/08/2016,30/08/2016,604,?,?,2,1,1,1,1986,?,?,?,1920,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,Unit,3,?,6,?,Henley,Avenue,?,Terrigal,2260,NSW,607
15540797,480000,22/11/2016,22/11/2016,806,?,?,4,2,2,2,?,?,?,?,?,Y,Y,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,1,?,?,?,?,?,?,?,House,?,?,35,?,Diamantina,Circuit,?,Pacific Pines,4211,QLD,806
6767913,480000,2/09/2013,2/09/2013,1101,?,253,5,3,2,2,1996,Other,Other,Carpet Floor,?,?,Y,?,?,?,?,?,1,?,Y,?,?,?,?,?,?,?,?,?,?,?,Y,Y,1,?,House,?,?,10,?,Federation,Drive,?,Terranora,2486,NSW,1101
17988276,343000,22/09/2017,22/09/2017,575,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,House,?,?,21,?,Wagtail,Circuit,?,Kawungan,4655,QLD,575
11180069,460000,30/09/2019,17/06/2019,636,?,?,3,1,1,1,1999,?,Brick Veneer,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,House,?,?,19,?,Brydon,Court,?,Hastings,3915,VIC,635
7009053,275000,25/08/2018,25/08/2018,473,?,?,3,1,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,House,?,?,35,?,Knoll,Avenue,?,Turrella,2205,NSW,471
15723599,0,27/09/2012,12/10/2011,990,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,House,?,?,12,?,Endeca,Court,?,Lovely Banks,3213,VIC,496
9685426,530000,20/09/2010,20/09/2010,567,86,86,3,1,4,?,1958,Tiled,Frst/Stone,?,?,?,Y,Convenl,?,Average,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,House,?,?,47,?,Surrey,Street,?,Grange,5022,SA,567
17667768,2650000,12/05/2016,12/05/2016,?,?,?,5,3,3,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,House,?,?,22,?,Laidlaw,Parade,?,East Brisbane,4169,QLD,453
16490015,570000,23/05/2014,23/05/2014,?,?,?,3,3,2,2,?,?,?,Carpet Floor Porcelain Floor,?,?,Y,?,?,?,?,?,?,?,?,1,?,?,?,?,?,?,?,?,?,?,?,?,?,?,Unit,1,?,22,26,Buchanan,Road,?,Berwick,3806,VIC,?
7847157,805000,22/07/2019,20/06/2019,618,?,?,2,2,4,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,House,?,?,150,?,Wycombe,Street,?,Yagoona,2199,NSW,625
10005648,1146000,21/02/2011,21/02/2011,826,120,218,5,2,2,2,1926,Colorbond,Bagged Brick,Jarrah Timber Floor,?,Y,Y,Bungalow,?,Average,?,?,?,?,Y,?,?,?,22.48,?,?,?,?,?,?,?,?,?,?,?,House,?,?,17,?,Clapton,Road,?,Marryatville,5068,SA,826
11601897,0,2/06/2011,21/04/2011,710,?,194,4,2,2,?,1910,Terracotta Tiles,Weatherboard,?,?,Y,Y,?,?,?,?,1,1,1,Y,?,?,?,?,?,?,?,1,?,?,?,?,Y,?,?,House,?,?,6,?,Wilmot,Street,?,Malvern East,3145,VIC,710
14009572,405000,24/05/2016,24/05/2016,653,?,175,3,2,2,?,1970,Tile,Masonry Brick Rendered,Timber Floor,?,?,Y,?,?,?,?,?,1,1,?,?,?,1,?,?,?,?,?,?,?,Y,Y,?,1,?,House,?,?,50,?,Stratton,Avenue,?,Lenah Valley,7008,TAS,653
1274269,310000,9/11/2013,4/11/2013,2046,?,?,2,1,1,1,?,?,?,?,?,?,Y,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,Unit,24,?,166,?,Greenacre,Road,?,Bankstown,2200,NSW,?
11476240,285000,29/12/2012,17/09/2012,855,?,?,?,2,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,Y,?,?,?,House,?,?,11,?,Hurford,Place,?,Augusta,6290,WA,855
11170745,354000,29/08/2014,29/08/2014,531,?,?,3,2,8,?,?,?,?,Slate Floor,1434,Y,?,?,Y,?,?,?,1,1,?,?,?,1,?,?,?,?,?,?,?,?,?,?,?,?,House,?,?,24,?,Edeys,Run,?,Hampton Park,3976,VIC,531
13013940,155000,1/12/2011,1/12/2011,738,?,?,3,1,?,1,?,?,?,?,?,?,Y,?,?,?,?,1,?,?,Y,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,House,?,?,161,?,Archer,Street,?,Shepparton,3630,VIC,730
2006761,521000,30/06/2017,29/06/2017,582,?,149,2,1,1,1,1960,CORRUGATEDMETAL,OTHER,Carpet Floor,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,2,?,House,?,?,21,?,Monteith,Street,?,Cringila,2502,NSW,582
9214999,0,2/05/2013,16/01/2013,300,?,112,3,1,1,1,2000,Concrete Tile,Brick Veneer,Timber Floor,?,?,Y,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,House,?,?,13,?,Smethwick,Green,?,Caroline Springs,3023,VIC,?
17458236,142000,18/12/2015,18/12/2015,3,?,?,3,2,1,1,?,?,?,?,?,?,?,?,?,?,?,?,1,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,House,?,?,16,?,Denham,Street,?,Gawler East,5118,SA,375
11876553,45500,17/06/2019,17/06/2019,2082,?,111,2,1,2,2,1985,colorbond corrugated iron,Hardiplank,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,Y,?,?,?,?,?,House,?,?,109,?,Macclesfield,Road,?,Monbulk,3793,VIC,2081
4090133,525000,1/08/2017,1/08/2017,672,?,?,3,1,1,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,House,?,?,83,?,Orange Grove,Road,?,Coopers Plains,4108,QLD,647
13083211,450000,14/10/2015,14/10/2015,800,?,?,?,3,1,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,Y,?,?,?,House,?,?,44,?,First Settlement,Drive,?,Sorrento,3943,VIC,800
17271821,357000,9/10/2013,9/10/2013,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,Unit,?,?,9,?,Bella Vista,Crescent,?,Healesville,3777,VIC,?
5110873,380000,9/08/2013,15/02/2012,106,?,?,3,2,1,1,?,?,?,Timber Floor,?,?,Y,?,?,?,?,?,1,?,?,?,?,?,?,?,?,?,?,?,?,?,?,Y,?,?,Unit,6,?,23,?,Santa Barbara,Road,?,Hope Island,4212,QLD,?
7142756,155000,19/03/2018,26/08/2016,54,?,54,2,1,1,?,1984,Tile,Brick,?,?,?,Y,?,?,?,?,?,?,?,?,?,?,1,?,?,?,?,?,?,?,?,?,?,?,?,Unit,3,?,35A,?,Holberton,Street,?,Rockville,4350,QLD,?
13870800,1850000,8/11/2018,8/11/2018,61512,?,330,4,2,4,?,2008,Other,Other,?,?,Y,Y,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,Y,?,?,Y,3,?,House,?,?,330,?,Little Yarra,Road,?,Yarra Junction,3797,VIC,?
10998012,445000,10/08/2017,10/08/2017,751,?,184,4,2,4,2,2003,?,?,?,1120,?,Y,?,?,?,?,?,?,?,?,?,?,2,?,?,?,?,?,?,?,?,?,?,2,?,House,?,?,116,?,Osborne,Street,?,Spring Gully,3550,VIC,335
17032398,328750,6/10/2014,6/10/2014,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,Unit,3,?,9,?,Houston,Street,?,Epping,3076,VIC,?
16201387,430000,12/11/2013,12/11/2013,?,?,105,2,2,2,2,?,Metal Decking,Brick (Rendered),?,?,?,Y,?,?,?,?,?,1,?,?,?,?,?,?,?,?,?,?,?,?,?,?,Y,?,?,Unit,1,?,36,?,Antill,Street,?,Queanbeyan,2620,NSW,173
9864821,595000,18/05/2014,18/05/2014,680,?,248,3,2,?,2,2005,Concrete Tile,Brick Veneer,?,?,Y,Y,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,House,?,?,56,?,Hillgrove,Crescent,?,Berwick,3806,VIC,680
3346536,610000,8/04/2015,8/04/2015,290,?,?,3,2,?,2,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,House,?,?,76,?,the Scenic Road,?,?,Killcare Heights,2257,NSW,340
17536103,759000,7/04/2016,7/04/2016,?,?,?,4,3,2,2,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,House,?,?,19,?,Fenwick,Street,?,Gledswood Hills,2557,NSW,465
5659708,985000,24/02/2012,24/02/2012,3000,?,101,2,2,2,2,?,?,?,?,?,?,Y,?,Y,?,?,1,1,?,?,8,?,?,?,?,?,?,?,1,?,?,Y,Y,?,?,Unit,805A,?,24,?,Point,Street,?,Pyrmont,2009,NSW,?
46154416,345000,28/09/2017,28/09/2017,?,?,?,1,1,1,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,Unit,401,?,2,?,Wilhelmina,Street,?,Gosford,2250,NSW,64
45745769,765000,24/10/2018,19/09/2018,?,?,?,1,1,1,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,Unit,1,?,44,?,Cambridge,Street,?,Stanmore,2048,NSW,?
4677634,375000,9/05/2017,9/05/2017,1005,?,172,4,2,2,2,1992,?,?,?,?,?,Y,?,?,?,?,?,1,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,House,?,?,23,?,Burgundy,Street,?,Muswellbrook,2333,NSW,965
12388904,755000,18/08/2018,18/08/2018,368,?,?,2,1,1,1,?,Tile,Brick,Timber Floor,?,?,Y,?,?,?,?,1,?,?,?,?,?,1,?,?,?,?,?,?,?,?,?,?,?,?,Unit,?,?,5,?,Raven,Court,?,Oakleigh South,3167,VIC,368
