Cl_Property_ID,CL_Contract_Price,CL_Transfer_Date,Cl_History_From,Cl_Est_Land_Area,Cl_Equiv_Building_Area,Cl_Floor_Area,Cl_Bedrooms,Cl_Bathrooms,Cl_Car_Spaces,Cl_Garages,Cl_Year_Built,Cl_Materials_In_Roof,Cl_Materials_In_External_Walls,Cl_Materials_In_Floor,Cl_Bond_Amount,Cl_Access_Security_Installed,Cl_Air_Conditioned,Cl_Architectural_Style,Cl_Close_To_Public_Transport,Cl_Condition,Cl_Construction_Type,Cl_Dining_Rooms,Cl_Ensuites,Cl_Family_Rooms,Cl_Fireplace,Cl_Floor_Level_Of_Unit,Cl_Frontage,Cl_Lounge_Rooms,Cl_Street_Frontage_Size,Cl_Games_Rooms,Cl_Kitchens,Cl_Meal_Rooms,Cl_Study_Rooms,Cl_Floor_Levels_Inside_Unit,Cl_On_Main_Road,Cl_Renovated,Cl_Scenic_View,Cl_Swimming_Pool,Cl_Toilets,Cl_Heritage_Flag,CL_Property_Type,CL_Unit_No,CL_Unit_No_Derived,CL_Street_No_Start,CL_Street_No_End,CL_Street_Name,CL_Street_Type,CL_Street_Direction,CL_Suburb,CL_Postcode,CL_State,CL_Land_Area
10187170,310000,6/02/2014,27/01/2014,180,106,106,2,1,1,1,1990,Other,Other,Timber Floor,1800,?,Y,Cotg/Twnse,?,Good,?,?,?,?,?,?,10.97,?,17,?,?,?,?,?,?,?,Y,?,1,?,Unit,7,?,4,?,Gulf Point,Drive,?,North Haven,5018,SA,?
10206862,720000,26/09/2019,2/10/2018,375,189,189,3,2,2,?,1998,Tiled (Terra Cotta or Cement),Stone; Freestone,?,?,?,?,High Quality Conventional,?,Good,?,?,1,?,?,?,12.5,?,12.5,?,?,?,?,?,?,?,?,?,?,?,House,?,?,10,?,Stanford,Avenue,?,Novar Gardens,5040,SA,375
10222090,2350000,16/05/2015,16/05/2015,722,?,?,4,3,1,1,?,Tiled,Brick,?,?,?,?,?,?,?,?,1,?,1,?,?,?,1,?,?,?,?,1,?,?,?,?,?,?,?,HOUSE,?,?,9,?,LANSELL,CRESCENT,?,CAMBERWELL,3124,VIC,715
10246725,226000,13/03/2015,13/03/2015,177,54,59,2,1,1,1,1990,Concrete Tiled,Brick Veneer,Carpet Floor,940,?,Y,Convenl,?,Good,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,Y,?,?,Unit,9,?,222,?,Nelson,Road,?,Para Vista,5093,SA,?
10256436,3212000,16/11/2019,16/11/2019,837,?,?,3,1,1,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,House,?,?,4,?,Logan,Street,?,Canterbury,3126,VIC,?
10265299,410000,20/11/2013,20/11/2013,593,?,?,3,1,2,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,1,?,House,?,?,95,?,Lantana,Road,?,Cape Woolamai,3925,VIC,585
10300133,12000,5/10/2012,5/10/2012,933,90,90,3,1,?,?,1950,Galvanised Iron,CEM/WB/LG,?,?,?,?,Convenl,?,?,?,?,?,?,?,?,17.07,?,17.07,?,?,?,?,?,?,?,?,?,?,?,House,?,?,4,?,Foster,Road,?,Pinnaroo,5304,SA,1357
10322720,110000,7/02/2018,8/01/2018,837,97,106,2,1,4,2,1950,Imitation Tile ,Rendered Masonry ,?,?,?,?,Austerity,?,Fair,?,?,?,?,?,?,22.28,?,22.28,?,?,?,?,?,?,?,?,?,?,?,House,?,?,9,?,William,Street,?,Port Augusta,5700,SA,837
10347733,198400,14/12/2010,18/11/2010,851,160,160,3,?,?,?,1981,Tile,Stone,?,?,?,?,Convenl,?,Average,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,House,?,?,9,?,Rossell,Street,?,Port Macdonnell,5291,SA,851
10363746,85000,18/07/2019,1/06/2019,1239,84,67,1,1,1,0,1880,OTHER,OTHER,?,500,?,?,Symm/Cotge,?,Very Poor,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,House,?,?,32,?,North,Street,?,Port Wakefield,5550,SA,1239
10370759,1470000,16/12/2010,16/12/2010,1058,164,164,4,1,1,4,1920,Galvanised Iron,Rendered,Timber Floor,2610,?,?,Bungalow,?,Poor,?,?,?,?,Y,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,House,?,?,5,?,Gloucester,Street,?,Prospect,5082,SA,1026
10386003,527000,23/11/2017,2/09/2017,753,108,230,4,2,2,1,1973,Colorbond,Brick Veneer,Timber Concrete,?,?,Y,Span/Style,?,Good,?,?,?,?,?,?,12.95,1,12.95,?,?,?,?,?,?,?,Y,Y,1,?,House,?,?,13,?,Saratoga,Avenue,?,Redwood Park,5097,SA,753
10403501,0,15/07/2015,15/07/2015,700,?,?,3,1,2,2,?,?,?,Timber Floor,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,Y,?,?,?,?,House,?,?,14,?,Jacana,Street,?,Chadstone,3148,VIC,697
10415231,1210000,23/09/2017,23/09/2017,610,?,155,4,3,2,2,1950,Iron,Western Red Cedar,?,?,?,?,Y,Y,?,?,1,?,1,Y,?,?,2,?,?,?,?,?,?,Y,Y,?,?,3,?,House,?,?,501,?,Nepean,Highway,?,Chelsea,3196,VIC,600
10416264,440000,13/07/2019,28/06/2017,?,?,?,2,1,1,1,?,?,?,Timber Floor,?,?,Y,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,Y,1,?,Unit,2,?,334,339,Station,Street,?,Chelsea,3196,VIC,?
10421035,855000,27/08/2016,27/08/2016,674,?,325,4,3,2,2,?,?,?,?,?,Y,Y,?,?,?,?,?,1,?,?,?,?,4,?,?,?,?,1,?,?,?,?,?,1,?,House,?,?,3,?,Pickwick,Place,?,Chelsea Heights,3196,VIC,674
10447457,233000,17/10/2014,17/10/2014,630,104,104,3,1,1,1,1964,Tiled,Brick,?,?,?,Y,S.Convenl,Y,Average,?,1,?,?,?,?,?,1,?,?,?,?,?,?,?,Y,?,?,?,?,House,?,?,41,?,Harvey,Avenue,?,Salisbury,5108,SA,630
10505360,295000,23/01/2012,23/01/2012,700,?,?,3,3,2,1,?,?,?,?,1650,?,Y,?,?,?,?,?,1,?,?,?,?,?,20,?,?,?,?,?,?,?,Y,?,?,?,House,?,?,3,?,Oriana,Drive,?,Sellicks Beach,5174,SA,700
10512089,373500,7/12/2013,7/12/2013,585,?,?,4,2,2,2,?,?,?,Timber Floor,?,?,Y,?,?,?,?,1,1,?,Y,?,?,1,?,?,?,?,?,?,?,?,Y,?,?,?,House,?,?,7,?,Parrakoola,Drive,?,Clifton Springs,3222,VIC,585
10514861,280000,20/12/2012,20/12/2012,1051,?,?,3,1,2,2,?,?,?,Concrete Floor,?,?,?,?,?,?,?,?,1,?,Y,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,House,?,?,12,?,Canterbury,Street,?,Clunes,3370,VIC,1051
10531160,880000,12/12/2015,12/12/2015,492,?,?,3,1,3,2,?,Tiles,Brick,?,2080,?,Y,?,Y,?,?,1,?,?,Y,?,?,1,?,?,?,?,?,?,?,?,?,?,?,?,House,?,?,11,?,Bruce,Street,?,Coburg,3058,VIC,488
10541073,520000,26/05/2017,17/03/2017,111,85,2,2,2,1,1,1998,Iron,Brick Veneer,Concrete Floor Polished Concrete Floor,2400,?,Y,Arctect,?,Good,?,?,1,?,?,?,17.07,?,4.57,?,?,?,?,?,?,?,Y,?,?,?,Unit,11,?,52A,?,Henry,Street,?,Stepney,5069,SA,?
10552932,390000,16/02/2016,16/02/2016,1301,?,?,4,2,10,10,?,?,?,?,?,?,Y,?,?,?,?,?,1,?,Y,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,House,?,?,57,?,Park,Avenue,?,Streaky Bay,5680,SA,1301
10561310,250000,3/06/2011,21/02/2011,771,178,?,?,?,?,?,2008,Galvanised Iron,Frst/Stone,?,?,?,?,Convenl,?,Good,?,?,2,?,?,?,?,?,27.1,?,?,?,?,?,Y,?,?,?,?,?,House,?,?,184,?,Princes,Highway,?,Tailem Bend,5260,SA,773
10569601,260000,1/03/2013,16/02/2013,628,?,?,4,1,1,2,?,?,?,Carpet Floor,?,?,Y,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,House,?,?,11,?,Bryan,Avenue,?,Colac,3250,VIC,682
10584714,1030000,2/07/2018,9/05/2018,1174,?,?,3,1,5,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,House,?,?,10,?,Lochness,Avenue,?,Torrens Park,5062,SA,1174
10597586,350000,20/10/2016,20/10/2016,515,?,?,4,2,4,2,?,?,?,Carpet Floor,?,?,Y,?,?,?,?,1,1,?,?,?,12.37,1,12.37,?,?,?,1,?,?,?,?,?,2,?,House,?,?,17,?,Wandana,Place,?,Tumby Bay,5605,SA,515
10600853,440000,17/08/2019,17/08/2019,839,?,188,3,2,4,2,1960,Terracotta Tiles,Brick Veneer,Timber,?,Y,Y,?,?,?,?,?,1,?,Y,?,?,?,?,?,?,?,?,?,?,?,Y,?,3,?,House,?,?,6,?,Brenda,Court,?,Corinella,3984,VIC,868
10615247,300000,23/08/2011,23/08/2011,648,110,138,3,1,3,?,1965,Other,Other,?,?,?,Y,Convenl,?,Average,?,?,?,?,?,?,?,?,20.73,?,?,?,?,?,?,?,Y,?,?,?,House,?,?,6,?,Knightsbridge,Avenue,?,Valley View,5093,SA,648
10618021,310000,17/12/2010,4/11/2010,605,?,?,4,2,2,2,?,?,?,Carpet Floor,?,?,Y,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,Y,?,1,?,House,?,?,32,?,Scenorama,Road,?,Coronet Bay,3984,VIC,534
10620045,0,1/02/2016,4/09/2011,?,?,?,3,6,6,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,Unit,?,?,154,?,Harris,Street,?,Corryong,3707,VIC,?
