GCIS_KEY,PERIOD_ID,TARGET_F,MBNCZZ_CUST_INIT_TRAN_COUNT,MBNCZZ_CUR_OTH_DEP_AMT,CINCZZ_EXPLICIT_INCOME,MBNCZZ_CUR_SAL_CREDIT_AMT,MBNCZZ_ABS_SPOT_AMT,CPNCZZ_MFI_TRAN_COUNT,CUNCZZ_AGE_YEARS,CPNCZZ_REL_AGE_IN_MTH,MBNCZZ_DEP_SPOT_BAL_AMT,CFNCZZ_ACC_TO_FUNDS,CPBCZZ_ACCT_CLOSE_IND,MBNHMI_AVG_OTH_DEP_AMT,MBBHMI_EVERYDAY_BANKER_IND,TRNHDL_AVG_DEPOSIT_AMT,MBOHDL_QUALITY_DEP_IND,CONHDL_SECURITY_AMT,CFNHDL_CURRENT_LVR,MBNHIC_AVG_CUST_INIT_TRAN_C,CMNHDL_FULL_FI_AMT,TRNHSL_TOT_WITHDRAWAL_CNT
20767911,201803,0,lower,lower,mid,mid,high,lower,low,high,higher,high,No,lower,Yes,lower,0,low,low,lower,mid,low
41234922,201805,0,lower,mid,mid,low,high,lower,higher,higher,higher,high,No,high,Yes,mid,0,low,low,lower,high,low
52805119,201804,0,lower,lower,high,high,high,lower,high,mid,higher,high,No,lower,Yes,lower,0,low,low,lower,lower,lower
55031560,201804,1,lower,high,low,low,lower,lower,low,lower,lower,lower,No,higher,Yes,lower,0,low,low,mid,higher,lower
53054963,201804,0,higher,low,mid,mid,higher,higher,mid,low,mid,higher,No,low,Yes,mid,0,low,low,higher,lower,lower
56002432,201806,0,higher,mid,high,high,higher,higher,mid,lower,mid,higher,No,lower,No,higher,-1,high,high,high,lower,higher
53170297,201806,1,mid,high,low,low,high,mid,low,low,lower,high,No,mid,No,higher,1,low,low,low,mid,high
52851718,201805,1,high,higher,low,low,lower,high,low,mid,lower,lower,No,higher,Yes,higher,0,low,low,high,lower,lower
93547288,201805,1,lower,low,low,low,lower,lower,high,mid,lower,lower,No,mid,Yes,mid,0,low,low,lower,mid,low
51351421,201803,0,low,low,high,high,higher,low,mid,mid,lower,higher,No,low,Yes,low,0,low,low,low,higher,mid
54355519,201803,0,mid,higher,low,low,higher,mid,lower,low,higher,high,No,higher,Yes,low,0,low,low,high,low,low
52610064,201807,0,lower,lower,low,low,mid,lower,lower,mid,mid,low,No,high,No,lower,0,low,low,lower,mid,high
